timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/08/27 21:06:53.441, 0, 0 %, 0 %, 0 MiB, 40.19 W
2026/08/27 21:06:53.450, 1, 0 %, 0 %, 0 MiB, 39.97 W
2026/08/27 21:06:53.459, 2, 0 %, 0 %, 0 MiB, 38.19 W
2026/08/27 21:06:58.469, 0, 0 %, 0 %, 0 MiB, 40.30 W
2026/08/27 21:06:58.469, 1, 0 %, 0 %, 0 MiB, 39.97 W
2026/08/27 21:06:58.469, 2, 0 %, 0 %, 0 MiB, 38.19 W
2026/08/27 21:07:03.470, 0, 0 %, 0 %, 1 MiB, 40.21 W
2026/08/27 21:07:03.473, 1, 0 %, 0 %, 20 MiB, 40.56 W
2026/08/27 21:07:03.474, 2, 0 %, 0 %, 1 MiB, 38.29 W
2026/08/27 21:07:08.482, 0, 1 %, 0 %, 35265 MiB, 42.35 W
2026/08/27 21:07:08.482, 1, 1 %, 0 %, 35265 MiB, 42.12 W
2026/08/27 21:07:08.482, 2, 2 %, 0 %, 35264 MiB, 40.36 W
2026/08/27 21:07:13.483, 0, 0 %, 0 %, 35265 MiB, 42.28 W
2026/08/27 21:07:13.483, 1, 0 %, 0 %, 35265 MiB, 42.13 W
2026/08/27 21:07:13.483, 2, 0 %, 0 %, 35264 MiB, 40.58 W
2026/08/27 21:07:18.484, 0, 1 %, 0 %, 35273 MiB, 42.16 W
2026/08/27 21:07:18.484, 1, 1 %, 0 %, 35273 MiB, 43.02 W
2026/08/27 21:07:18.484, 2, 3 %, 0 %, 35272 MiB, 40.36 W
2026/08/27 21:07:23.488, 0, 1 %, 0 %, 35273 MiB, 42.17 W
2026/08/27 21:07:23.488, 1, 2 %, 0 %, 35273 MiB, 42.02 W
2026/08/27 21:07:23.488, 2, 1 %, 0 %, 35272 MiB, 40.48 W
2026/08/27 21:07:28.490, 0, 2 %, 0 %, 35273 MiB, 42.07 W
2026/08/27 21:07:28.490, 1, 1 %, 0 %, 35273 MiB, 41.93 W
2026/08/27 21:07:28.490, 2, 0 %, 0 %, 35272 MiB, 39.96 W
2026/08/27 21:07:33.491, 0, 1 %, 0 %, 35273 MiB, 42.07 W
2026/08/27 21:07:33.491, 1, 6 %, 0 %, 35273 MiB, 42.31 W
2026/08/27 21:07:33.491, 2, 9 %, 0 %, 35272 MiB, 40.05 W
2026/08/27 21:07:38.492, 0, 3 %, 2 %, 35273 MiB, 42.07 W
2026/08/27 21:07:38.492, 1, 0 %, 0 %, 35273 MiB, 41.92 W
