timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/08/27 14:55:34.938, 0, 0 %, 0 %, 0 MiB, 34.57 W
2026/08/27 14:55:34.949, 1, 0 %, 0 %, 0 MiB, 33.85 W
2026/08/27 14:55:34.961, 2, 0 %, 0 %, 0 MiB, 34.90 W
2026/08/27 14:55:39.972, 0, 0 %, 0 %, 0 MiB, 34.57 W
2026/08/27 14:55:39.972, 1, 0 %, 0 %, 0 MiB, 33.95 W
2026/08/27 14:55:39.972, 2, 0 %, 0 %, 0 MiB, 34.90 W
2026/08/27 14:55:44.972, 0, 0 %, 0 %, 0 MiB, 34.46 W
2026/08/27 14:55:44.973, 1, 0 %, 0 %, 0 MiB, 33.93 W
2026/08/27 14:55:44.973, 2, 0 %, 0 %, 0 MiB, 34.88 W
2026/08/27 14:55:49.973, 0, 0 %, 0 %, 35264 MiB, 36.34 W
2026/08/27 14:55:49.973, 1, 0 %, 0 %, 35264 MiB, 35.92 W
2026/08/27 14:55:49.973, 2, 0 %, 0 %, 35264 MiB, 36.87 W
2026/08/27 14:55:54.974, 0, 1 %, 0 %, 35264 MiB, 55.87 W
2026/08/27 14:55:54.974, 1, 0 %, 0 %, 35264 MiB, 54.33 W
2026/08/27 14:55:54.975, 2, 0 %, 0 %, 35264 MiB, 56.64 W
2026/08/27 14:55:59.975, 0, 1 %, 0 %, 35272 MiB, 36.34 W
2026/08/27 14:55:59.975, 1, 0 %, 0 %, 35272 MiB, 36.10 W
2026/08/27 14:55:59.975, 2, 9 %, 0 %, 35272 MiB, 37.25 W
2026/08/27 14:56:04.976, 0, 1 %, 0 %, 35272 MiB, 36.24 W
2026/08/27 14:56:04.976, 1, 1 %, 0 %, 35272 MiB, 36.11 W
2026/08/27 14:56:04.977, 2, 1 %, 0 %, 35272 MiB, 37.07 W
2026/08/27 14:56:09.978, 0, 1 %, 0 %, 35272 MiB, 36.43 W
2026/08/27 14:56:09.978, 1, 2 %, 0 %, 35272 MiB, 36.01 W
2026/08/27 14:56:09.979, 2, 1 %, 0 %, 35272 MiB, 36.77 W
2026/08/27 14:56:14.979, 0, 0 %, 0 %, 35272 MiB, 36.34 W
2026/08/27 14:56:14.979, 1, 0 %, 0 %, 35272 MiB, 35.72 W
2026/08/27 14:56:14.979, 2, 0 %, 0 %, 35272 MiB, 36.57 W
2026/08/27 14:56:19.980, 0, 0 %, 0 %, 35272 MiB, 36.33 W
2026/08/27 14:56:19.980, 1, 0 %, 0 %, 35272 MiB, 35.90 W
2026/08/27 14:56:19.980, 2, 0 %, 0 %, 35272 MiB, 36.68 W
2026/08/27 14:56:24.981, 0, 1 %, 0 %, 35272 MiB, 36.45 W
2026/08/27 14:56:24.981, 1, 0 %, 0 %, 35272 MiB, 35.72 W
2026/08/27 14:56:24.981, 2, 0 %, 0 %, 35272 MiB, 36.70 W
2026/08/27 14:56:29.982, 0, 0 %, 0 %, 35272 MiB, 36.25 W
2026/08/27 14:56:29.982, 1, 0 %, 0 %, 35272 MiB, 35.92 W
2026/08/27 14:56:29.983, 2, 0 %, 0 %, 35272 MiB, 36.57 W
2026/08/27 14:56:34.983, 0, 0 %, 0 %, 35278 MiB, 36.05 W
2026/08/27 14:56:34.983, 1, 0 %, 0 %, 35278 MiB, 35.92 W
2026/08/27 14:56:34.984, 2, 0 %, 0 %, 35278 MiB, 36.57 W
2026/08/27 14:56:39.984, 0, 0 %, 0 %, 35278 MiB, 35.95 W
2026/08/27 14:56:39.985, 1, 0 %, 0 %, 35278 MiB, 35.92 W
2026/08/27 14:56:39.985, 2, 0 %, 0 %, 35278 MiB, 36.46 W
2026/08/27 14:56:44.985, 0, 0 %, 0 %, 35278 MiB, 36.44 W
2026/08/27 14:56:44.985, 1, 0 %, 0 %, 35278 MiB, 36.01 W
2026/08/27 14:56:44.985, 2, 0 %, 0 %, 35278 MiB, 36.89 W
2026/08/27 14:56:49.985, 0, 100 %, 23 %, 35284 MiB, 87.93 W
2026/08/27 14:56:49.986, 1, 100 %, 22 %, 35278 MiB, 83.10 W
2026/08/27 14:56:49.986, 2, 100 %, 17 %, 35278 MiB, 102.51 W
2026/08/27 14:56:54.991, 0, 100 %, 19 %, 35284 MiB, 86.93 W
2026/08/27 14:56:54.991, 1, 100 %, 21 %, 35278 MiB, 119.44 W
2026/08/27 14:56:54.991, 2, 100 %, 25 %, 35278 MiB, 169.52 W
2026/08/27 14:56:59.992, 0, 100 %, 25 %, 35284 MiB, 84.90 W
2026/08/27 14:56:59.993, 1, 100 %, 20 %, 35278 MiB, 167.32 W
2026/08/27 14:56:59.993, 2, 100 %, 24 %, 35278 MiB, 75.68 W
2026/08/27 14:57:04.994, 0, 100 %, 20 %, 35284 MiB, 91.11 W
2026/08/27 14:57:04.994, 1, 100 %, 21 %, 35278 MiB, 72.43 W
2026/08/27 14:57:04.994, 2, 100 %, 18 %, 35278 MiB, 83.97 W
2026/08/27 14:57:09.994, 0, 100 %, 21 %, 35284 MiB, 94.58 W
2026/08/27 14:57:09.994, 1, 100 %, 25 %, 35278 MiB, 142.83 W
2026/08/27 14:57:09.994, 2, 100 %, 18 %, 35278 MiB, 132.14 W
2026/08/27 14:57:14.995, 0, 0 %, 0 %, 35284 MiB, 37.53 W
2026/08/27 14:57:14.995, 1, 0 %, 0 %, 35278 MiB, 37.30 W
2026/08/27 14:57:14.995, 2, 0 %, 0 %, 35278 MiB, 37.77 W
2026/08/27 14:57:19.995, 0, 100 %, 17 %, 35284 MiB, 142.30 W
2026/08/27 14:57:19.996, 1, 100 %, 17 %, 35278 MiB, 113.26 W
2026/08/27 14:57:19.996, 2, 100 %, 17 %, 35278 MiB, 80.25 W
2026/08/27 14:57:24.996, 0, 100 %, 22 %, 35284 MiB, 155.69 W
2026/08/27 14:57:24.996, 1, 100 %, 21 %, 35278 MiB, 86.67 W
2026/08/27 14:57:24.996, 2, 100 %, 21 %, 35278 MiB, 89.11 W
2026/08/27 14:57:29.997, 0, 0 %, 0 %, 35284 MiB, 37.43 W
2026/08/27 14:57:29.997, 1, 0 %, 0 %, 35278 MiB, 37.20 W
2026/08/27 14:57:29.997, 2, 0 %, 0 %, 35278 MiB, 38.26 W
2026/08/27 14:57:34.998, 0, 6 %, 1 %, 35284 MiB, 37.33 W
2026/08/27 14:57:34.998, 1, 0 %, 0 %, 35278 MiB, 37.29 W
2026/08/27 14:57:34.998, 2, 0 %, 0 %, 35278 MiB, 37.95 W
2026/08/27 14:57:39.998, 0, 100 %, 25 %, 35284 MiB, 124.21 W
2026/08/27 14:57:39.999, 1, 100 %, 21 %, 35278 MiB, 135.63 W
2026/08/27 14:57:39.999, 2, 100 %, 23 %, 35278 MiB, 184.86 W
2026/08/27 14:57:45.000, 0, 100 %, 17 %, 35284 MiB, 110.40 W
2026/08/27 14:57:45.000, 1, 100 %, 20 %, 35278 MiB, 137.72 W
2026/08/27 14:57:45.000, 2, 100 %, 25 %, 35278 MiB, 151.60 W
2026/08/27 14:57:50.000, 0, 36 %, 0 %, 35286 MiB, 58.80 W
2026/08/27 14:57:50.000, 1, 0 %, 0 %, 35278 MiB, 57.17 W
2026/08/27 14:57:50.000, 2, 0 %, 0 %, 35278 MiB, 60.09 W
2026/08/27 14:57:55.001, 0, 0 %, 0 %, 35286 MiB, 37.51 W
2026/08/27 14:57:55.001, 1, 0 %, 0 %, 35278 MiB, 37.19 W
2026/08/27 14:57:55.001, 2, 0 %, 0 %, 35278 MiB, 38.15 W
2026/08/27 14:58:00.001, 0, 0 %, 0 %, 35286 MiB, 37.42 W
2026/08/27 14:58:00.001, 1, 0 %, 0 %, 35278 MiB, 37.00 W
2026/08/27 14:58:00.002, 2, 0 %, 0 %, 35278 MiB, 38.04 W
2026/08/27 14:58:05.002, 0, 100 %, 23 %, 35286 MiB, 200.14 W
2026/08/27 14:58:05.002, 1, 98 %, 17 %, 35278 MiB, 117.09 W
2026/08/27 14:58:05.002, 2, 100 %, 30 %, 35278 MiB, 203.96 W
2026/08/27 14:58:10.003, 0, 100 %, 25 %, 35286 MiB, 131.75 W
2026/08/27 14:58:10.004, 1, 100 %, 20 %, 35278 MiB, 79.89 W
2026/08/27 14:58:10.004, 2, 100 %, 20 %, 35278 MiB, 105.41 W
2026/08/27 14:58:15.004, 0, 19 %, 0 %, 35286 MiB, 64.80 W
2026/08/27 14:58:15.004, 1, 0 %, 0 %, 35278 MiB, 57.95 W
2026/08/27 14:58:15.004, 2, 0 %, 0 %, 35278 MiB, 59.99 W
2026/08/27 14:58:20.005, 0, 0 %, 0 %, 35290 MiB, 38.02 W
2026/08/27 14:58:20.005, 1, 0 %, 0 %, 35278 MiB, 37.30 W
2026/08/27 14:58:20.005, 2, 0 %, 0 %, 35278 MiB, 38.25 W
2026/08/27 14:58:25.005, 0, 0 %, 0 %, 35290 MiB, 37.51 W
2026/08/27 14:58:25.005, 1, 0 %, 0 %, 35278 MiB, 37.10 W
2026/08/27 14:58:25.005, 2, 0 %, 0 %, 35278 MiB, 37.95 W
2026/08/27 14:58:30.006, 0, 0 %, 0 %, 35290 MiB, 37.33 W
2026/08/27 14:58:30.006, 1, 0 %, 0 %, 35278 MiB, 36.81 W
2026/08/27 14:58:30.006, 2, 0 %, 0 %, 35278 MiB, 37.75 W
2026/08/27 14:58:35.007, 0, 0 %, 0 %, 35290 MiB, 37.24 W
2026/08/27 14:58:35.007, 1, 0 %, 0 %, 35278 MiB, 36.71 W
2026/08/27 14:58:35.007, 2, 0 %, 0 %, 35278 MiB, 38.05 W
2026/08/27 14:58:40.007, 0, 5 %, 0 %, 35292 MiB, 37.14 W
2026/08/27 14:58:40.007, 1, 0 %, 0 %, 35278 MiB, 36.91 W
2026/08/27 14:58:40.007, 2, 0 %, 0 %, 35278 MiB, 37.85 W
2026/08/27 14:58:45.008, 0, 100 %, 26 %, 35300 MiB, 177.59 W
2026/08/27 14:58:45.008, 1, 100 %, 24 %, 35278 MiB, 132.75 W
2026/08/27 14:58:45.008, 2, 100 %, 21 %, 35278 MiB, 97.26 W
2026/08/27 14:58:50.009, 0, 100 %, 29 %, 35300 MiB, 161.56 W
2026/08/27 14:58:50.009, 1, 100 %, 20 %, 35278 MiB, 170.26 W
2026/08/27 14:58:50.009, 2, 99 %, 21 %, 35278 MiB, 83.32 W
2026/08/27 14:58:55.010, 0, 100 %, 22 %, 35300 MiB, 79.79 W
2026/08/27 14:58:55.010, 1, 100 %, 18 %, 35278 MiB, 109.28 W
2026/08/27 14:58:55.010, 2, 100 %, 23 %, 35278 MiB, 182.71 W
2026/08/27 14:59:00.010, 0, 0 %, 0 %, 35302 MiB, 58.53 W
2026/08/27 14:59:00.010, 1, 0 %, 0 %, 35282 MiB, 37.19 W
2026/08/27 14:59:00.010, 2, 0 %, 0 %, 35278 MiB, 38.14 W
2026/08/27 14:59:05.011, 0, 3 %, 0 %, 35302 MiB, 37.53 W
2026/08/27 14:59:05.011, 1, 0 %, 0 %, 35282 MiB, 37.01 W
2026/08/27 14:59:05.011, 2, 0 %, 0 %, 35278 MiB, 37.95 W
2026/08/27 14:59:10.011, 0, 3 %, 0 %, 35302 MiB, 37.43 W
2026/08/27 14:59:10.012, 1, 0 %, 0 %, 35282 MiB, 37.10 W
2026/08/27 14:59:10.012, 2, 0 %, 0 %, 35278 MiB, 38.05 W
2026/08/27 14:59:15.012, 0, 0 %, 0 %, 35302 MiB, 37.33 W
2026/08/27 14:59:15.012, 1, 0 %, 0 %, 35282 MiB, 36.71 W
2026/08/27 14:59:15.012, 2, 0 %, 0 %, 35278 MiB, 37.96 W
2026/08/27 14:59:20.013, 0, 100 %, 14 %, 35302 MiB, 163.65 W
2026/08/27 14:59:20.013, 1, 100 %, 12 %, 35290 MiB, 96.24 W
2026/08/27 14:59:20.013, 2, 100 %, 16 %, 35278 MiB, 91.07 W
2026/08/27 14:59:25.014, 0, 100 %, 21 %, 35302 MiB, 175.44 W
